Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit,Stripped Titles
4,Card Schemes,Maybank Singapore Airlines Enrich Card,Devinder Singh (Group CISO) [LinkedIn/The Org] [INHERITED from Maybank Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail (Group CRO) + Inn Yiow (Group CCO) [Group-level: Maybank] [INHERITED from Maybank Berhad - product brand governance],Shafiq Abdul Jabbar [INHERITED from Maybank Berhad - product brand governance],Mohamed Rezwan Abdullah Ismail [INHERITED from Maybank Berhad - product brand governance],Inn Yiow (Group Chief Compliance Officer) [RocketReach/ZoomInfo] [INHERITED from Maybank Berhad - product brand governance],Giorgio Migliarina (Group Chief Technology & Digital Officer) [INHERITED from Maybank Berhad - product brand governance],Azian Ismail (Chief Audit Executive) [TheOrg] [INHERITED from Maybank Berhad - product brand governance],
4,Payment Operators,Me2U (by PayNet),"Meling Mudin (Chief Information Security Officer, PayNet group) [Inherited from PayNet parent per v5.5 leadership-inheritance precedent. Source: Star Cybersecurity Summit 2025 speaker page + LinkedIn + ZoomInfo; conf 95]",,"Tan Wei Tze (Chief Financial Officer, PayNet) [PayNet leadership - Me2U is a PayNet product, inherited, conf 80 CAVEAT: Me2U not listed on official PayNet 10 named services; may be Maybank2u feature mislabeled.]",,,"Teh Lip Guan (Chief Technology Officer, PayNet) [PayNet leadership - Me2U is a PayNet product, inherited, conf 80 CAVEAT: Me2U not listed on official PayNet 10 named services; may be Maybank2u feature mislabeled.]",,
1,Licensed Banks,Mizuho Bank (Malaysia) Berhad,,,,,,,"Lim Kim Seng (Chairman of Board Audit Committee) [Official: Mizuho MY Profile of Directors PDF + Board & Board Committees Composition PDF, conf 80 — board-level oversight. Chief Internal Auditor (CIA) management position referenced in Audited FS but explicitly not named. Lim Kim Seng is qualified CA (ICAS), ex-Group Chief Internal Auditor of Hong Leong Bank (retired 2014).]",
3,MSBs,Money Match Sdn Bhd,"DUPLICATE OF MONEYMATCH SDN BHD [Correct spelling ""MoneyMatch Sdn Bhd"" already in DB at 4/7. This entry (with space) is the same entity. Recommend removing row or marking as duplicate. Founders: Adrian Tan, Nikki Yeo (moneymatch.co/about-us).]",,,,,,,
3,MSBs,MoneyMatch Sdn Bhd,"Poorya (Chief Information & Security Officer) [Official: moneymatch.co/about-us, conf 90 - note: first name only displayed]",,"Anees Aisyah (Chief Financial Officer) [Official: moneymatch.co/about-us, conf 92]",,"Thavalogan (Head of Compliance) [Official: moneymatch.co/about-us, conf 88 - note: first name only displayed]","Jerry Chee (Chief Technology Officer) [Official: moneymatch.co/about-us, conf 92]",,
1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Dominic Yew,Priya Ranjan Sharma (CRO) + Doreen Keng Chun Ching (Compliance) [Group-level: OCBC],Ms Teoh Yin Meng,Priya Ranjan Sharma,Ms Doreen Keng Chun Ching,Mr Hong Hee Loon (Head of Technology),Mr Victor Ong Hock Seng,Dr
5,GLC-Linked,PNB Capital Berhad,"Ts. Muhammad Izzat bin Hj Abdul Aziz (PNB Group CTO, CISO-equivalent, inherited) [Source: pnb.com.my/en/leadership-en; conf 80]. PNB Capital has no dedicated IT/security executive; IT security leadership inherited from PNB Group CTO function.","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Mohd Irwan Ahmad Mustafa (Group Chief Strategy & Financial Officer) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Mohd Azmir Mohd Jani (Chief Risk Officer) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Ts Izzat Aziz (Group Chief Technology Officer, PNB Group) [PNB Integrated Report 2024 / pnb.com.my/en/leadership-en, conf 90 - PNB Group CTO, won PIKOM CIO of the Year Award for AI Adoption] [INHERITED from PNB - product brand governance]","Noramly Bachok @ Abdul Aziz (Group Head, Internal Audit) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]",
5,GLC-Linked,PNB Equity Fund Berhad,"Ts. Muhammad Izzat bin Hj Abdul Aziz (PNB Group CTO, CISO-equivalent, inherited) [Source: pnb.com.my/en/leadership-en; conf 80]. PNB Equity Fund has no dedicated IT/security executive; IT security leadership inherited from PNB Group CTO function.","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Mohd Irwan Ahmad Mustafa (Group Chief Strategy & Financial Officer) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Mohd Azmir Mohd Jani (Chief Risk Officer) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]","Ts Izzat Aziz (Group Chief Technology Officer, PNB Group) [PNB Integrated Report 2024 / pnb.com.my/en/leadership-en, conf 90 - PNB Group CTO, won PIKOM CIO of the Year Award for AI Adoption] [INHERITED from PNB - product brand governance]","Noramly Bachok @ Abdul Aziz (Group Head, Internal Audit) [pnb.com.my, HIGH-90] [INHERITED from PNB - product brand governance]",
5,GLC-Linked,PNB Income Fund Berhad,"ENTITY LIKELY NON-EXISTENT [No evidence on pnb.com.my or ASNB fund listing (18 unit trust funds, none named ""PNB Income Fund""). PNB Capital and PNB Equity Fund previously confirmed non-existent. Recommend removal or marking as non-existent.]",,,,,,,
3,Development FIs,PUNB,,"Ahmad Faisal Mohd Basir (Head, Company Secretary & Governance) [Official: punb.com.my]","Azman Abdullah (General Manager, Finance & Transformation Division) [Official: punb.com.my]","Mohd Sulaiman Khazali (Head, Internal Audit & Risk Management) [Official: punb.com.my]","Norasyikin Mansor (Head, Legal Affairs) [Official: punb.com.my]",,"Mohd Sulaiman Khazali (Head, Internal Audit & Risk Management) [Official: punb.com.my]",
4,Payment Operators,PayDirect (by PayNet),"Meling Mudin (Chief Information Security Officer, PayNet group) [Inherited from PayNet parent per v5.5 leadership-inheritance precedent. Source: Star Cybersecurity Summit 2025 speaker page + LinkedIn + ZoomInfo; conf 95]",,"Tan Wei Tze (Chief Financial Officer, PayNet) [PayNet leadership - PayDirect = PayNet ""DirectDebit"" service, inherited, conf 85]",,,"Teh Lip Guan (Chief Technology Officer, PayNet) [PayNet leadership - PayDirect = PayNet ""DirectDebit"" service, inherited, conf 85]",,
4,Payment Operators,PayNet (PayNet Malaysia Sdn Bhd),"Meling Mudin (Chief Information Security Officer, Payments Network Malaysia Sdn. Bhd.) [Source: Star Cybersecurity Summit 2025 speaker page (conference.thestar.com.my/cybersecuritysummit/speaker/meling-mudin, May 2025) + LinkedIn (my.linkedin.com/in/spoonfork) + ZoomInfo + Datanyze; conf 95 — not on official leadership page but confirmed via 5 independent secondary sources including industry conference bio]",,"Tan Wei Tze (Chief Financial Officer) [Official: paynet.my/about-us/corporate-profile/leadership.html, conf 95]",,,"Teh Lip Guan (Chief Technology Officer) [Official: paynet.my/about-us/corporate-profile/leadership.html, conf 95]",,
4,Card Schemes,PayNet Card (by PayNet),"Meling Mudin (Chief Information Security Officer, PayNet group) [Inherited from PayNet parent per v5.5 leadership-inheritance precedent. Source: Star Cybersecurity Summit 2025 speaker page + LinkedIn + ZoomInfo; conf 95]",,"Tan Wei Tze (Chief Financial Officer, PayNet) [PayNet leadership - PayNet Card = PayNet ""MyDebit"" domestic debit card scheme, inherited, conf 85]",,,"Teh Lip Guan (Chief Technology Officer, PayNet) [PayNet leadership - PayNet Card = PayNet ""MyDebit"" domestic debit card scheme, inherited, conf 85]",,
5,GLC-Linked,Permodalan BSN Berhad (PBSNB),,"Wong Ching Fai @ Christopher (Head of Risk and Compliance) [Official: pbsn.com.my/staff/wong-ching-fai-christopher/, conf 90 - same person as CRO and Compliance; combined Risk and Compliance title functionally covers GRC]","Suzylah Mohamed Noor (Head of Finance and HR Shared Services) [Official: pbsn.com.my/management-team/, conf 90]","Wong Ching Fai @ Christopher (Head of Risk and Compliance) [Official: pbsn.com.my/management-team/, conf 95]","Wong Ching Fai @ Christopher (Head of Risk and Compliance) [Official: pbsn.com.my/management-team/, conf 95]",,,
5,GLC-Linked,Permodalan Nasional Berhad (PNB),"Ts. Muhammad Izzat bin Hj Abdul Aziz (Chief Technology Officer, CISO-equivalent) [Official: PNB LinkedIn/Facebook + ETCIO SEA Transformative CIOs 2024 + Global CIO Forum Top 100; conf 85]. CTO since June 2023; led PNB SuperApp + GLIC AI Roundtable. ⚠️ Possible departure late 2025 (LinkedIn shows JLG Investment Holdings) — verify before contact.","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90]","Mohd Irwan Ahmad Mustafa (Group Chief Strategy & Financial Officer) [pnb.com.my, HIGH-90]","Mohd Azmir Mohd Jani (Chief Risk Officer) [pnb.com.my, HIGH-90]","Sahlawati Mustafa (Group Head, Compliance & Integrity) [pnb.com.my, HIGH-90]","Ts Izzat Aziz (Group Chief Technology Officer, PNB Group) [PNB Integrated Report 2024 / pnb.com.my/en/leadership-en, conf 90 - PNB Group CTO, won PIKOM CIO of the Year Award for AI Adoption]","Noramly Bachok @ Abdul Aziz (Group Head, Internal Audit) [pnb.com.my, HIGH-90]",
5,GLC-Linked,Permodalan Negeri Selangor Berhad (PNSB),,"Mohammed Hanafi Bin Muhi (Senior Manager – Integrity, Audit & Governance) [Official: pnsb.com.my/info-korporat/, conf 90]","Ahmad Zamwawi Bin Ahmad Nazari (Senior General Manager – Finance) [Official: pnsb.com.my/info-korporat/, conf 95]","Mohammed Hanafi Bin Muhi (Senior Manager - Integriti, Audit & Governans) [Official: pnsb.com.my/info-korporat/, conf 80 - Integrity function in Malaysian GLCs typically subsumes enterprise risk; same person as Head of GRC and IA]","Mohammed Hanafi Bin Muhi (Senior Manager - Integriti, Audit & Governans) [Official: pnsb.com.my/info-korporat/, conf 75 - Integriti (Integrity) function in Malaysian GLCs typically includes compliance; same person as Head of GRC and CRO]",,"Mohammed Hanafi Bin Muhi (Senior Manager – Integrity, Audit & Governance) [Official: pnsb.com.my/info-korporat/, conf 95]",
2,Investment Banks,Phillip Securities (Malaysia) Sdn Bhd,,,"Alina Sim (HOD Finance / CFO) [Official: phillipinvest.com.my/the-management-team/, conf 95]","Ramli Abd Hamid (Head of Legal, Compliance & Risk Management) [Official: phillipinvest.com.my/the-management-team/, conf 95 - combined Legal/Compliance/Risk role]","Ramli Abd Hamid (Head of Legal, Compliance & Risk Management) [Official: phillipinvest.com.my/the-management-team/, conf 95 - combined role]","Yorck Oliver Ago Reuber (IT Director) [Official: phillipinvest.com.my/the-management-team/, conf 95]","Fatin Fitriana Amran (Head of Internal Audit) [Official: phillipinvest.com.my/the-management-team/, conf 95]",
2,Insurers,Prudential Assurance Malaysia Berhad,"Tan Chia Chee (Head, Information Security Officer) [Contactout aggregator: contactout.com/tan-chia-chee-99124, conf 45 - UNVERIFIED LEAD]. Listed as ""Head, Information Security Officer at Prudential Assurance Malaysia Berhad, May 2024 to Present"". Could NOT verify via Prudential official leadership page (only lists Board, not executives). Contactout page blocked by Cloudflare on re-verification. REQUIRES LinkedIn / official confirmation.",Kamarul Hisham (CRO) + Idariah Idris (Compliance) [Composite],Ankur Bassi (Chief Financial Officer) [LinkedIn + TheOfficialBoard],Kamarul Hisham (Chief Risk Officer) [RocketReach],Idariah Idris (Head of Compliance) [RocketReach],Chen Liaw (Chief Technology Officer) [RocketReach: rocketreach.co],"Rohini Maniam (Country Head of Audit Malaysia / Senior Director, Group Audits) [LinkedIn: my.linkedin.com/in/rohini-maniam-71852027, conf 40 - UNVERIFIED LEAD]. LinkedIn profile title shows ""Prudential plc"" (UK parent). Title may be group-level rather than entity-specific (Prudential Assurance Malaysia Berhad). Official Prudential Malaysia leadership page does not list executives below Board. REQUIRES official source confirmation.",
2,Takaful,Prudential BSN Takaful Berhad,,,"Kelvin Wong (Chief Financial Officer) [Official: prubsn.com.my/en/about-us/about-prubsn/our-leaders, conf 95 — confirmed on official ExCo page as of Jul 2026]",,,,,
1,Licensed Banks,Public Bank Berhad,,Loh Jasmine (CRO) + Tan Shien Doon (Compliance) [Group-level composite],Yik Sook Ling (CFO),Loh Jasmine (CRO),Tan Shien Doon (CCO,Public Bank Group) [Official: publicbankgroup.com],Fam Yoke Fong (Senior GM,
2,Investment Banks,Public Investment Bank Berhad,,Jasmine Loh Sook Ling (CRO) + Tan Shien Doon (Compliance) [Group-level composite],"Yik Sook Ling (CFO, Public Bank Group) [Official: publicbankgroup.com]","Jasmine Loh Sook Ling (CRO, Public Bank Group) [Official: publicbankgroup.com]","Tan Shien Doon (CCO, Public Bank Group) [Official: publicbankgroup.com]","Fam Yoke Fong (Senior GM, IT, Public Bank Group) [Official: publicbankgroup.com]","Lim Then Fui (Group Chief Internal Auditor, Public Bank Group) [Official: publicbankgroup.com]",
1,Licensed Banks,Public Islamic Bank Berhad,,Loh Jasmine (CRO) + Tan Shien Doon (Compliance) [Group-level composite],Yik Sook Ling (CFO) [Group-level: Public Bank],Loh Jasmine (CRO) [Group-level: Public Bank],Tan Shien Doon (CCO) [Group-level: Public Bank],"Fam Yoke Fong (Senior GM, IT) [Group-level: Public Bank]",Lim Then Fui (Group Chief Internal Auditor) [Group-level: Public Bank],
2,Insurers,QBE Insurance (Malaysia) Sdn Bhd,,"Jeyasakthi Ratnasingam (Head of Risk & Compliance for Asia, since Nov 2024, Intl Diploma in GRC) [Official: QBE Annual Report 2024, conf 90]","Vivien Wong (Head of Finance, joined May 2026, 25+ yrs finance leadership, CPA Australia & MIA) [Official: qbe.com/my/about-qbe/executive-team]","Mohd Farid Bin Othman (Head of Risk, joined Dec 2018, 20+ yrs internal audit/risk, MIA member) [Official: qbe.com/my/about-qbe/executive-team]","Jaysree Kaliappan (Head of Compliance, joined Jul 2025, 14+ yrs compliance/operational risk, ICA Intl Diploma in GRC) [Official: qbe.com/my/about-qbe/executive-team]",,,
1,Licensed Banks,RHB Bank Berhad,Soon Yap (CISO) [LinkedIn],Azman Shah Md Yaman (Group Chief Legal & Governance Officer),Mohamed Bin Rastam Shahrom (Group CFO),Chong Han Hwee (Group CRO),Fazlina Mohamed Ghazalli (Group CCO),Wong Kwang Leh (Group CTO),Tan Boon Ching (Group Chief Internal Auditor),Dr
2,Investment Banks,RHB Investment Bank Berhad,Soon Yap (CISO) [Group-level: RHB],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Official: rhbgroup.com],Mohamed Bin Rastam Shahrom (Group CFO) [Official: rhbgroup.com],Chong Han Hwee (Group CRO) [Official: rhbgroup.com],Fazlina Mohamed Ghazalli (Group CCO) [Official: rhbgroup.com],Wong Kwang Leh (Group CTO) [Official: rhbgroup.com],Tan Boon Ching (Group Chief Internal Auditor) [Official: rhbgroup.com],Dr
1,Licensed Banks,RHB Islamic Bank Berhad,Soon Yap (CISO) [Group-level: RHB Bank],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [Group-level: RHB Bank],Mohamed Bin Rastam Shahrom (Group CFO) [Group-level: RHB Bank],Chong Han Hwee (Group CRO) [Group-level: RHB Bank],Fazlina Mohamed Ghazalli (Group CCO) [Group-level: RHB Bank],Wong Kwang Leh (Group CTO) [Group-level: RHB Bank],Tan Boon Ching (Group Chief Internal Auditor) [Group-level: RHB Bank],Dr
4,Card Schemes,RHB Shell Visa Card,Soon Yap (CISO) [LinkedIn] [INHERITED from RHB Bank Berhad - product brand governance],Azman Shah Md Yaman (Group Chief Legal & Governance Officer) [INHERITED from RHB Bank Berhad - product brand governance],Mohamed Bin Rastam Shahrom (Group CFO) [INHERITED from RHB Bank Berhad - product brand governance],Chong Han Hwee (Group CRO) [INHERITED from RHB Bank Berhad - product brand governance],Fazlina Mohamed Ghazalli (Group CCO) [INHERITED from RHB Bank Berhad - product brand governance],Wong Kwang Leh (Group CTO) [INHERITED from RHB Bank Berhad - product brand governance],Tan Boon Ching (Group Chief Internal Auditor) [INHERITED from RHB Bank Berhad - product brand governance],Dr
4,E-Money,Razer Pay Malaysia Sdn Bhd,"ENTITY DEFUNCT [Razer Pay (Beta) e-wallet shut down in Malaysia AND Singapore in 2021 per Wikipedia. Both razerfintech.com and razerpay.com.my domains EXPIRED (DNS resolution fails). Razer Inc. delisted from HKEX May 2022 (now private). Only known Razer Inc. execs: Min-Liang Tan (CEO), Patricia Liu (Exec Dir), Khaw Kheng Joo (COO) - all non-target. RECOMMEND REMOVAL from active campaign list - entity non-operational.]",,,,,,,
6,Fintech Sandbox,Ryt Bank Berhad,,,Wilson Soon|Chief Financial Officer (Acting CEO)|95|https://www.rytbank.my/about-us/|Ryt Bank CFO; acting CEO after Melvin Ooi departure,Yeoh Xin Yi|Chief Risk Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CRO,Muhammad Nasir Bin Hassan|Chief Compliance Officer|95|https://www.rytbank.my/about-us/|Ryt Bank Chief Compliance Officer,Nic Ngoo|Chief Technology Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CTO (maps to CIO/CTO role),,
6,Fintech Sandbox,Ryt Bank Berhad (YTL Digital),,,Wilson Soon|Chief Financial Officer (Acting CEO)|95|https://www.rytbank.my/about-us/|Ryt Bank CFO; acting CEO after Melvin Ooi departure,Yeoh Xin Yi|Chief Risk Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CRO,Muhammad Nasir Bin Hassan|Chief Compliance Officer|95|https://www.rytbank.my/about-us/|Ryt Bank Chief Compliance Officer,Nic Ngoo|Chief Technology Officer|95|https://www.rytbank.my/about-us/|Ryt Bank CTO (maps to CIO/CTO role),,
3,Development FIs,SME Bank Berhad,"Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, BPMB Group, CISO-equivalent) [Official: bpmb.com.my/about-us/leadership/, conf 80]",Mohammad Azam Ahmad (CRO) + Rosehamidi Kamaruddin (Compliance) [Group-level composite],"Hee Wei Jean (Group CFO, BPMB) [Official: bpmb.com.my]; Samad Majid Zain (was CFO Nov 2021 - Jun 2026, now CEO as of 1 Jul 2026) [Official: smebank.com.my]","Mohammad Azam Ahmad (Group Chief Risk Officer, BPMB) [Official: bpmb.com.my/about-us/leadership, conf 70 - BPMB Group-level]",Rosehamidi Kamaruddin (per RocketReach),"Hairil Izwar Abd Rahman (Group Chief Digital & Technology Officer, BPMB) [Official: bpmb.com.my/about-us/leadership, conf 70 - BPMB Group-level]","Hasrul Farid Hasnan (Group Chief Internal Auditor, BPMB) [Official: bpmb.com.my/about-us/leadership, conf 70 - BPMB Group-level]",
5,GLC-Linked,Sarawak State Financial Corporation (SSFC),,"Khartini Johari (Head, Group Integrity and Risk Management) [Official: sedc.com.my/management-team/, conf 95]","Leo Lanaiwong (Group Chief Financial Officer) [Official: sedc.com.my/leadership-team/, conf 95]","Khartini Johari (Head, Group Integrity and Risk Management) [Official: sedc.com.my/management-team/, conf 95]","Jason Minos (Head, Legal and Compliance / Chief Integrity and Governance Officer) [Official: dbos.gov.my/the-bank/our-leaders, conf 90 - Entity maps to Development Bank of Sarawak Berhad (DBOS), wholly Sarawak-owned DFI]","Nor Azlan Husaini (Acting Head, Group Digital & Technology) [Official: sedc.com.my/management-team/, conf 95]","Yap Yien Chiang (Head, Group Internal Audit) [Official: sedc.com.my/management-team/, conf 95]",Cik; Encik; Tuan; Haji
3,MSBs,SenangPay Sdn Bhd,,,"Mohd Mutalib (VP Finance and Account) [LinkedIn, conf 70]",,,,,
4,E-Money,Setel (PETRONAS Dagangan),,"Fazni Ismail (General Counsel, Legal Retail) [Official: mymesra.com.my/about-us/leadership-team, conf 60 - General Counsel functionally covers GRC umbrella; same person as Head of Compliance]","Mazlie Minhat (Chief Financial Officer, PETRONAS Dagangan Berhad - parent) [Official: mymesra.com.my/about-us/leadership-team, conf 80 - inherited to Setel Ventures Sdn Bhd. Appointed Jan 2026 to Setel board.] [INHERITED from Setel by PETRONAS Dagangan Berhad - product brand governance]",,"Fazni Ismail (General Counsel, Legal Retail) [Official: mymesra.com.my/about-us/leadership-team, conf 65 - General Counsel in PETRONAS group entities typically oversees compliance; Setel Ventures Sdn Bhd governed by PDB parent executives]","Sazlina Ahamad (Chief Technology Officer, PETRONAS Dagangan Berhad - parent) [Official: mymesra.com.my/about-us/leadership-team, conf 80 - inherited to Setel.] [INHERITED from Setel by PETRONAS Dagangan Berhad - product brand governance]","Nik Fariza Nik Hamdan (Chief Audit Executive, PETRONAS Dagangan Berhad - parent) [Official: mymesra.com.my/about-us/leadership-team, conf 80 - inherited to Setel.] [INHERITED from Setel by PETRONAS Dagangan Berhad - product brand governance]",
4,E-Money,Setel by PETRONAS Dagangan Berhad,,"Fazni Ismail (General Counsel, Legal Retail) [Official: mymesra.com.my/about-us/leadership-team, conf 60 - General Counsel functionally covers GRC umbrella; same person as Head of Compliance]","Mazlie Minhat (Chief Financial Officer, PETRONAS Dagangan Berhad - parent) [Official: mymesra.com.my/about-us/leadership-team, conf 80 - inherited to Setel Ventures Sdn Bhd. Appointed Jan 2026 to Setel board.]",,"Fazni Ismail (General Counsel, Legal Retail) [Official: mymesra.com.my/about-us/leadership-team, conf 65 - General Counsel in PETRONAS group entities typically oversees compliance; Setel Ventures Sdn Bhd governed by PDB parent executives]","Sazlina Ahamad (Chief Technology Officer, PETRONAS Dagangan Berhad - parent) [Official: mymesra.com.my/about-us/leadership-team, conf 80 - inherited to Setel.]","Nik Fariza Nik Hamdan (Chief Audit Executive, PETRONAS Dagangan Berhad - parent) [Official: mymesra.com.my/about-us/leadership-team, conf 80 - inherited to Setel.]",
4,E-Money,ShopeePay (Monee Malaysia),,,"Tony Hou (Chief Financial Officer, Sea Limited - parent) [Official: sea.com/aboutus/leadership, conf 80 - inherited to ShopeePay Malaysia. ShopeePay = Monee (formerly SeaMoney, rebranded May 2025) digital financial services arm of Sea Limited. Malaysia Head: Alain Yee (Head of ShopeePay Malaysia + P",,,,,
4,E-Money,ShopeePay Malaysia Sdn Bhd,,,"Tony Hou (Chief Financial Officer, Sea Limited - parent) [Official: sea.com/aboutus/leadership, conf 80 - inherited to ShopeePay Malaysia. ShopeePay = Monee (formerly SeaMoney, rebranded May 2025) digital financial services arm of Sea Limited. Malaysia Head: Alain Yee (Head of ShopeePay Malaysia + President AEMI 2026/27-2027/28, LinkedIn linkedin.com/company/shopeepay, conf 85, non-target). No MY-specific CISO/CRO/CTO/Compliance/IA/GRC found.]",,,,,
1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,"Sivanathan Subramaniam (CISO Malaysia) [LinkedIn: linkedin.com/posts/sivanathansubramaniam, conf 75]",Ong Gaik Ean (CRO) + Irene Tan (Compliance) [Group-level composite],Mushahid Syed (Interim CEO & CFO),Ong Gaik Ean (CRO),Irene Tan (Chief Compliance Officer),Joy Chowdhury (Chief Technology & Operations Officer),Praveen Sankaranarayan (Head of Audit),
4,Card Schemes,Standard Chartered Shopee Visa Card,"Sivanathan Subramaniam (CISO Malaysia) [LinkedIn: linkedin.com/posts/sivanathansubramaniam, conf 75] [INHERITED from Standard Chartered Bank Malaysia - product brand governance]",Ong Gaik Ean (CRO) + Irene Tan (Compliance) [Group-level composite] [INHERITED from Standard Chartered Bank Malaysia - product brand governance],Mushahid Syed (Interim CEO & CFO) [INHERITED from Standard Chartered Bank Malaysia - product brand governance],Ong Gaik Ean (CRO) [INHERITED from Standard Chartered Bank Malaysia - product brand governance],Irene Tan (Chief Compliance Officer) [INHERITED from Standard Chartered Bank Malaysia - product brand governance],Joy Chowdhury (Chief Technology & Operations Officer) [INHERITED from Standard Chartered Bank Malaysia - product brand governance],Praveen Sankaranarayan (Head of Audit) [INHERITED from Standard Chartered Bank Malaysia - product brand governance],
1,Licensed Banks,Sumitomo Mitsui Banking Corporation Malaysia Berhad,,,"Norihiro Oyanagi (officer primarily responsible for financial management per Section 251(1)(b) Companies Act 2016 statutory declaration) [Official: SMBC MY audited financial statements FY2024 & FY2025 (smbc.co.jp/asia/malaysia/financial-statement-31Mar2025.pdf), conf 78 — statutory CFO-equivalent; document prints statutory role description not literal ""CFO"" title]","Lim Tuang Ooi (Board Risk Management Committee Chairman, Ind. Non-Exec Director) [Official: smbc.co.jp/asia/malaysia/SMBCMY-board-of-directors.pdf, conf 85 - board-level oversight]",,,"Lo Nyen Khing (Board Audit Committee Chairman, Ind. Non-Exec Director) [Official: smbc.co.jp/asia/malaysia/SMBCMY-board-of-directors.pdf, conf 85 - board-level oversight]",
2,Insurers,Sun Life Malaysia Assurance Berhad,,"Board Chairman: Dato' Noorazman Abd. Aziz (Ind. Director, appointed 13 May 2022) [Official: sunlifemalaysia.com, conf 95]; RMC Chair: Nigel Hazell (Ind. Director, Risk Mgmt Cmte Chairman) [Official: sunlifemalaysia.com, conf 95]","Lim Chin Har / Chew Lim (Chief Financial Officer) [LinkedIn: my.linkedin.com/in/chew-lim-209a05397, conf 65; cross-ref official mgmt page image: sunlifemalaysia.com/about-us/leadership/management-team]","Nigel Hazell (Board Risk Management Committee Chairman, Ind. Director, appointed 13 May 2022) [Official: sunlifemalaysia.com/about-us/leadership/board-of-directors-assurance/, conf 95]",,,"Wong Ah Kow (Board Audit Committee Chairman, Ind. Director, appointed 22 Sep 2022) [Official: sunlifemalaysia.com/about-us/leadership/board-of-directors-assurance/, conf 95]",
5,GLC-Linked,Syarikat Jaminan Pembiayaan Perniagaan (SJPP),,"Juanita Rusmini binti Abdul Jalil (Acting Principal Officer) [sjpp.com.my, HIGH-80]",,,,,,
2,Takaful,Syarikat Takaful Malaysia Berhad,,Shizal Fisham bin Ramli (Chief Governance Officer) [Official: takaful-malaysia.com.my],New Kheng Chee (Group CFO) [Official: takaful-malaysia.com.my],,Redzuan bin Abu (Head of Compliance) [Official: takaful-malaysia.com.my],Nazaruddin Adha bin Md Noor (CTO) [Official: takaful-malaysia.com.my],Zuhairi bin Ismail (Chief Internal Audit) [Official: takaful-malaysia.com.my],
4,E-Money,TNG Digital Sdn Bhd,,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Lai Mee Fong|Chief Financial Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CFO,"Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role","Dunstan Gerald Maurice|Chief Risk, Compliance & Governance Officer|95|https://www.touchngo.com.my/about-us/leadership/|Combined CRO/Compliance/GRC role",Desmond Chin Ye Foong|Chief Technology Officer|95|https://www.touchngo.com.my/about-us/leadership/|TNG Digital CTO (maps to CIO/CTO role),,
